raw_regime,regime,stress_score,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date,assignment_start_date,assignment_end_date
0,0,-1.9576745287733894,sequential_centroid_match,0.004827588450083123,32,2018-03-29,2021-10-12,2021-10-13,2021-11-09
1,2,1.4336310485111854,sequential_centroid_match,0.006315033119562486,32,2018-03-29,2021-10-12,2021-10-13,2021-11-09
2,3,15.0065137626199,sequential_centroid_match,0.0021329865313843015,32,2018-03-29,2021-10-12,2021-10-13,2021-11-09
3,1,1.215751733710611,sequential_centroid_match,0.011207923160639574,32,2018-03-29,2021-10-12,2021-10-13,2021-11-09
0,2,1.4619717919144741,sequential_centroid_match,0.006652885530603547,33,2018-03-29,2021-11-09,2021-11-10,2021-12-08
1,1,1.2927461296439449,sequential_centroid_match,0.007180338059231168,33,2018-03-29,2021-11-09,2021-11-10,2021-12-08
2,0,-1.9416839123152525,sequential_centroid_match,0.0052985505599226195,33,2018-03-29,2021-11-09,2021-11-10,2021-12-08
3,3,15.14169955980758,sequential_centroid_match,0.0016393637149818166,33,2018-03-29,2021-11-09,2021-11-10,2021-12-08
0,2,1.465821070233812,sequential_centroid_match,0.005714813691115361,34,2018-03-29,2021-12-08,2021-12-09,2022-01-06
1,0,-1.9496141351955631,sequential_centroid_match,0.0038185907923669014,34,2018-03-29,2021-12-08,2021-12-09,2022-01-06
2,1,1.2344589127759544,sequential_centroid_match,0.016428617654554303,34,2018-03-29,2021-12-08,2021-12-09,2022-01-06
3,3,15.281607927246387,sequential_centroid_match,0.0017215141252227872,34,2018-03-29,2021-12-08,2021-12-09,2022-01-06
0,0,-1.9439404376039824,sequential_centroid_match,0.009052522013311661,35,2018-03-29,2022-01-06,2022-01-07,2022-02-04
1,2,1.4741443201495947,sequential_centroid_match,0.003918622521128081,35,2018-03-29,2022-01-06,2022-01-07,2022-02-04
2,3,15.378616792714444,sequential_centroid_match,0.0030645469754326253,35,2018-03-29,2022-01-06,2022-01-07,2022-02-04
3,1,1.2266304401578596,sequential_centroid_match,0.007866738659024887,35,2018-03-29,2022-01-06,2022-01-07,2022-02-04
0,2,1.5039317846830296,sequential_centroid_match,0.03676306607192503,36,2018-03-29,2022-02-04,2022-02-07,2022-03-07
1,0,-1.9456368472396695,sequential_centroid_match,0.010949232417016149,36,2018-03-29,2022-02-04,2022-02-07,2022-03-07
2,1,1.2507328608927881,sequential_centroid_match,0.01018300666816754,36,2018-03-29,2022-02-04,2022-02-07,2022-03-07
3,3,15.140866851632179,sequential_centroid_match,0.08075930098314608,36,2018-03-29,2022-02-04,2022-02-07,2022-03-07
0,0,-2.0141870898695187,sequential_centroid_match,0.03139453596202488,37,2018-03-29,2022-03-07,2022-03-08,2022-04-04
1,2,1.6643838249338114,sequential_centroid_match,0.037830046730999524,37,2018-03-29,2022-03-07,2022-03-08,2022-04-04
2,1,0.8683794776294516,sequential_centroid_match,0.06425792955588917,37,2018-03-29,2022-03-07,2022-03-08,2022-04-04
3,3,15.170108512481972,sequential_centroid_match,0.027459814036765475,37,2018-03-29,2022-03-07,2022-03-08,2022-04-04
0,0,-2.0416472265370738,sequential_centroid_match,0.004590495095383837,38,2018-03-29,2022-04-04,2022-04-05,2022-05-03
1,3,15.184306948806496,sequential_centroid_match,0.023968429873090155,38,2018-03-29,2022-04-04,2022-04-05,2022-05-03
2,1,0.8681638613124408,sequential_centroid_match,0.007555405435773638,38,2018-03-29,2022-04-04,2022-04-05,2022-05-03
3,2,1.687579708348756,sequential_centroid_match,0.019427965944767516,38,2018-03-29,2022-04-04,2022-04-05,2022-05-03
0,3,15.070128329035668,sequential_centroid_match,0.10986856744995013,39,2018-03-29,2022-05-03,2022-05-04,2022-06-01
1,2,1.7919062440014644,sequential_centroid_match,0.039287458472713366,39,2018-03-29,2022-05-03,2022-05-04,2022-06-01
2,0,-2.015477285189835,sequential_centroid_match,0.029227495369574107,39,2018-03-29,2022-05-03,2022-05-04,2022-06-01
3,1,1.2254678067382294,sequential_centroid_match,0.07104278921022267,39,2018-03-29,2022-05-03,2022-05-04,2022-06-01
0,2,1.847703304761563,sequential_centroid_match,0.026750368211653705,40,2018-03-29,2022-06-01,2022-06-02,2022-06-30
1,1,1.2581846110172443,sequential_centroid_match,0.01802452523347207,40,2018-03-29,2022-06-01,2022-06-02,2022-06-30
2,0,-2.055049986811616,sequential_centroid_match,0.008428801727265008,40,2018-03-29,2022-06-01,2022-06-02,2022-06-30
3,3,14.99914410093578,sequential_centroid_match,0.025364786154235004,40,2018-03-29,2022-06-01,2022-06-02,2022-06-30
0,1,1.3141234903303394,sequential_centroid_match,0.02485227811073211,41,2018-03-29,2022-06-30,2022-07-01,2022-07-29
1,0,-2.1297813658102167,sequential_centroid_match,0.0048345665900859395,41,2018-03-29,2022-06-30,2022-07-01,2022-07-29
2,3,14.943707306531335,sequential_centroid_match,0.05059223720611194,41,2018-03-29,2022-06-30,2022-07-01,2022-07-29
3,2,1.9772719007479143,sequential_centroid_match,0.04313307060345938,41,2018-03-29,2022-06-30,2022-07-01,2022-07-29
0,1,1.3083562038293008,sequential_centroid_match,0.024151270404124868,42,2018-03-29,2022-07-29,2022-08-01,2022-08-26
